designation,profile,h,b,c,d,tw,tf,r1,r2,b1,Beta,A,Ix,Zx,rx,Iy,Zy,ry,Iu,Zu,ru,Iv,Zv,rv,J,Cw,Zplx,Zply,h_tf,hw,ac,ax,ay,alpha,id,unit_mass
EA60x60x4,EA,8.00,4.00,-,-,-,-,-,-,-,-,471.00,158000.00,3590.00,18.30,-,-,-,250000.00,5900.00,23.00,66000.00,2920.00,11.80,3070.00,-,-,-,-,-,-,-,-,-,2100a447a7124662bd4aa5619d8c3d59,3.70
EA60x60x5,EA,8.00,4.00,-,-,-,-,-,-,-,-,582.00,194000.00,4450.00,18.20,-,-,-,307000.00,7240.00,23.00,80000.00,3450.00,11.70,5640.00,-,-,-,-,-,-,-,-,-,d10c5fb3cf1d4f8f81f03c88bc937489,4.57
EA60x60x6,EA,8.00,4.00,-,-,-,-,-,-,-,-,691.00,228000.00,5290.00,18.20,-,-,-,361000.00,8520.00,22.90,94000.00,3960.00,11.70,9360.00,-,-,-,-,-,-,-,-,-,2816702172344fbf96259ad600527476,5.42
EA60x60x8,EA,8.00,4.00,-,-,-,-,-,-,-,-,903.00,292000.00,6890.00,18.00,-,-,-,461000.00,10900.00,22.60,122000.00,4860.00,11.60,21000.00,-,-,-,-,-,-,-,-,-,f5c28a4a2e12411b92d476d4c1ea7a4d,7.09
EA60x60x10,EA,8.00,4.00,-,-,-,-,-,-,-,-,1110.00,349000.00,8410.00,17.80,-,-,-,551000.00,13000.00,22.30,148000.00,5670.00,11.60,39200.00,-,-,-,-,-,-,-,-,-,e80c7187dad04684831fbd8195d6022e,8.69
EA70x70x6,EA,9.00,4.50,-,-,-,-,-,-,-,-,813.00,369000.00,7270.00,21.30,-,-,-,585000.00,11800.00,26.80,153000.00,5600.00,13.70,11200.00,-,-,-,-,-,-,-,-,-,737beede3c5f4059ba596fc478ced840,6.38
EA70x70x8,EA,9.00,4.50,-,-,-,-,-,-,-,-,1060.00,475000.00,9520.00,21.10,-,-,-,753000.00,15200.00,26.60,197000.00,6920.00,13.60,25000.00,-,-,-,-,-,-,-,-,-,2835aca254b048fbaf04601f1b65a233,8.36
EA70x70x10,EA,9.00,4.50,-,-,-,-,-,-,-,-,1310.00,572000.00,11700.00,20.90,-,-,-,905000.00,18300.00,26.30,240000.00,8100.00,13.50,46800.00,-,-,-,-,-,-,-,-,-,2aaa0e5da7bd463c828a0df1648f7f88,10.30
EA80x80x6,EA,10.00,5.00,-,-,-,-,-,-,-,-,935.00,558000.00,9570.00,24.40,-,-,-,885000.00,15600.00,30.80,231000.00,7550.00,15.70,13000.00,-,-,-,-,-,-,-,-,-,cf7e52328c504a27b3f2fea22202522f,7.34
EA80x80x8,EA,10.00,5.00,-,-,-,-,-,-,-,-,1230.00,722000.00,12600.00,24.30,-,-,-,1150000.00,20300.00,30.60,299000.00,9370.00,15.60,29100.00,-,-,-,-,-,-,-,-,-,16fc4f4dff2f4291af4bd5877dd7afe1,9.63
EA80x80x10,EA,10.00,5.00,-,-,-,-,-,-,-,-,1510.00,875000.00,15400.00,24.10,-,-,-,1390000.00,24500.00,30.30,364000.00,11000.00,15.50,54500.00,-,-,-,-,-,-,-,-,-,21b005ea4a7e4e04b11af162911b95d5,11.90
EA80x80x12,EA,10.00,5.00,-,-,-,-,-,-,-,-,1790.00,1020000.00,18200.00,23.90,-,-,-,1610000.00,28400.00,30.00,427000.00,12500.00,15.50,91200.00,-,-,-,-,-,-,-,-,-,b1ba835a4d314d289dd043ff0744a884,14.00
EA90x90x6,EA,11.00,5.50,-,-,-,-,-,-,-,-,1060.00,803000.00,12200.00,27.60,-,-,-,1270000.00,20000.00,34.70,333000.00,9800.00,17.80,15000.00,-,-,-,-,-,-,-,-,-,b17cb87ffa15448eb33c6173170cea81,8.30
EA90x90x8,EA,11.00,5.50,-,-,-,-,-,-,-,-,1390.00,1040000.00,16100.00,27.40,-,-,-,1660000.00,26000.00,34.50,431000.00,12200.00,17.60,33300.00,-,-,-,-,-,-,-,-,-,7002157eb61346ed9126022e0db12f8f,10.90
EA90x90x10,EA,11.00,5.50,-,-,-,-,-,-,-,-,1710.00,1270000.00,19800.00,27.20,-,-,-,2010000.00,31600.00,34.30,526000.00,14400.00,17.50,62400.00,-,-,-,-,-,-,-,-,-,3407e21cd96b4317988b93af60f97b01,13.40
EA90x90x12,EA,11.00,5.50,-,-,-,-,-,-,-,-,2030.00,1480000.00,23300.00,27.00,-,-,-,2340000.00,36800.00,34.00,617000.00,16400.00,17.40,104000.00,-,-,-,-,-,-,-,-,-,305c1ed7b1044a2da2d8b9948a813262,15.90
EA100x100x8,EA,12.00,6.00,-,-,-,-,-,-,-,-,1550.00,1450000.00,19900.00,30.60,-,-,-,2300000.00,32500.00,38.50,599000.00,15500.00,19.60,37600.00,-,-,-,-,-,-,-,-,-,393a5de3e79540948dbb70d2c755b14e,12.20
EA100x100x10,EA,12.00,6.00,-,-,-,-,-,-,-,-,1920.00,1770000.00,24600.00,30.40,-,-,-,2800000.00,39600.00,38.30,730000.00,18300.00,19.50,70300.00,-,-,-,-,-,-,-,-,-,fdbe43e9f6d3499293ddb75c457b9957,15.00
EA100x100x12,EA,12.00,6.00,-,-,-,-,-,-,-,-,2270.00,2070000.00,29100.00,30.20,-,-,-,3280000.00,46300.00,38.00,857000.00,20900.00,19.40,118000.00,-,-,-,-,-,-,-,-,-,05dc1ddde7cd43e59c7a5f03e7a172f9,17.80
EA100x100x15,EA,12.00,6.00,-,-,-,-,-,-,-,-,2790.00,2490000.00,35600.00,29.80,-,-,-,3930000.00,55500.00,37.50,1040000.00,24400.00,19.30,221000.00,-,-,-,-,-,-,-,-,-,a3cf6e5bf968465187cd04091b973a83,21.90
EA120x120x8,EA,13.00,6.50,-,-,-,-,-,-,-,-,1870.00,2550000.00,29100.00,36.90,-,-,-,4050000.00,47800.00,46.50,1050000.00,23100.00,23.70,45400.00,-,-,-,-,-,-,-,-,-,a13f70272578430584e79bf81dd85bdd,14.70
EA120x120x10,EA,13.00,6.50,-,-,-,-,-,-,-,-,2320.00,3130000.00,36000.00,36.70,-,-,-,4970000.00,58600.00,46.30,1290000.00,27500.00,23.60,85100.00,-,-,-,-,-,-,-,-,-,3690c9bc57534d27b828b06323a198ad,18.20
EA120x120x12,EA,13.00,6.50,-,-,-,-,-,-,-,-,2750.00,3680000.00,42700.00,36.50,-,-,-,5840000.00,68800.00,46.00,1520000.00,31600.00,23.50,143000.00,-,-,-,-,-,-,-,-,-,cf912f485bb54d33b339a148ed10d0ad,21.60
EA120x120x15,EA,13.00,6.50,-,-,-,-,-,-,-,-,3390.00,4450000.00,52400.00,36.20,-,-,-,7050000.00,83100.00,45.60,1850000.00,37100.00,23.30,269000.00,-,-,-,-,-,-,-,-,-,bd5ab857de1c46e7a9285b1e94d041fe,26.60
EA150x150x10,EA,16.00,8.00,-,-,-,-,-,-,-,-,2930.00,6240000.00,56900.00,46.20,-,-,-,9910000.00,93400.00,58.20,2580000.00,45100.00,29.70,110000.00,-,-,-,-,-,-,-,-,-,524aa8655e994c5082dade43559c91be,23.00
EA150x150x12,EA,16.00,8.00,-,-,-,-,-,-,-,-,3480.00,7370000.00,67700.00,46.00,-,-,-,11700000.00,110000.00,58.00,3030000.00,52000.00,29.50,184000.00,-,-,-,-,-,-,-,-,-,68a2a12c2c5040828a89134de063343e,27.30
EA150x150x15,EA,16.00,8.00,-,-,-,-,-,-,-,-,4300.00,8980000.00,83500.00,45.70,-,-,-,14300000.00,134000.00,57.60,3700000.00,61600.00,29.30,347000.00,-,-,-,-,-,-,-,-,-,6da4f092c55d486f9b30115db4f38edd,33.80
EA150x150x18,EA,16.00,8.00,-,-,-,-,-,-,-,-,5100.00,10500000.00,98700.00,45.40,-,-,-,16600000.00,157000.00,57.10,4350000.00,70500.00,29.20,584000.00,-,-,-,-,-,-,-,-,-,e613917af83846c1a409bf04a31f72c6,40.10
EA200x200x16,EA,18.00,9.00,-,-,-,-,-,-,-,-,6180.00,23400000.00,162000.00,61.60,-,-,-,37200000.00,263000.00,77.60,9600000.00,123000.00,39.40,564000.00,-,-,-,-,-,-,-,-,-,7fbfb2fa65504f188284df97494f5eec,48.50
EA200x200x18,EA,18.00,9.00,-,-,-,-,-,-,-,-,6910.00,26000000.00,181000.00,61.30,-,-,-,41300000.00,292000.00,77.30,10700000.00,135000.00,39.30,790000.00,-,-,-,-,-,-,-,-,-,7f6feed545504963a22cca09834fd9ae,54.20
EA200x200x20,EA,18.00,9.00,-,-,-,-,-,-,-,-,7630.00,28500000.00,199000.00,61.10,-,-,-,45300000.00,320000.00,77.00,11700000.00,146000.00,39.20,1070000.00,-,-,-,-,-,-,-,-,-,b3264eab0a8e4960aefdbf830e1d9638,59.90
EA200x200x24,EA,18.00,9.00,-,-,-,-,-,-,-,-,9060.00,33300000.00,235000.00,60.60,-,-,-,52800000.00,374000.00,76.40,13800000.00,167000.00,39.00,1800000.00,-,-,-,-,-,-,-,-,-,5ac3f76dd73c4d3a9115e387728f5e31,71.10
UEA65x50x6,UEA,6.00,3.00,-,-,-,-,-,-,-,-,658.00,272000.00,6100.00,20.30,140000.00,3770.00,14.60,338000.00,7480.00,22.70,74000.00,3110.00,10.60,8440.00,-,-,-,-,-,-,-,12.90,20.40,409dec9f54d942a49ae2d6cd6e02cca9,5.16
UEA65x50x8,UEA,6.00,3.00,-,-,-,-,-,-,-,-,860.00,348000.00,7930.00,20.10,177000.00,4890.00,14.40,430000.00,9570.00,22.40,96000.00,3990.00,10.50,19100.00,-,-,-,-,-,-,-,13.70,21.10,c928c51d2f8a46709ec782490ebd4a4f,6.75
UEA75x50x6,UEA,7.00,3.50,-,-,-,-,-,-,-,-,719.00,405000.00,8010.00,23.70,144000.00,3810.00,14.20,466000.00,9100.00,25.50,84000.00,3170.00,10.80,9420.00,-,-,-,-,-,-,-,12.10,24.40,61aea18131a64cedbab4d62c2a1b666f,5.65
UEA75x50x8,UEA,7.00,3.50,-,-,-,-,-,-,-,-,941.00,520000.00,10400.00,23.50,184000.00,4950.00,14.00,596000.00,11700.00,25.20,108000.00,4100.00,10.70,21300.00,-,-,-,-,-,-,-,12.90,25.20,d423dcfd67df45b0ae568db1c66f427a,7.39
UEA80x60x6,UEA,8.00,4.00,-,-,-,-,-,-,-,-,811.00,514000.00,9290.00,25.20,248000.00,5490.00,17.50,628000.00,11300.00,27.80,134000.00,4580.00,12.90,10800.00,-,-,-,-,-,-,-,14.80,24.70,b51467149f0f4e3986238560b63a132e,6.37
UEA80x60x8,UEA,8.00,4.00,-,-,-,-,-,-,-,-,1060.00,663000.00,12200.00,25.00,318000.00,7160.00,17.30,808000.00,14600.00,27.60,173000.00,5910.00,12.70,24400.00,-,-,-,-,-,-,-,15.60,25.50,4302d8ad73c64c42ab222ec88a5d143b,8.34
UEA90x65x6,UEA,8.00,4.00,-,-,-,-,-,-,-,-,901.00,734000.00,11800.00,28.50,323000.00,6530.00,18.90,879000.00,14100.00,31.20,178000.00,5440.00,14.10,11900.00,-,-,-,-,-,-,-,15.60,27.90,a110c3f7a4e946dd81dba9cafd5cfdd7,7.07
UEA90x65x8,UEA,8.00,4.00,-,-,-,-,-,-,-,-,1180.00,949000.00,15500.00,28.30,415000.00,8540.00,18.70,1130000.00,18300.00,31.00,230000.00,7050.00,13.90,26900.00,-,-,-,-,-,-,-,16.40,28.80,5afb87297d4849adb9d2b5af21958288,9.29
UEA90x65x10,UEA,8.00,4.00,-,-,-,-,-,-,-,-,1460.00,1150000.00,19000.00,28.10,499000.00,10400.00,18.50,1370000.00,22200.00,30.70,279000.00,8580.00,13.80,50900.00,-,-,-,-,-,-,-,17.20,29.60,c35c9376e3ad4549a74e44ecacb77af7,11.40
UEA100x65x8,UEA,10.00,5.00,-,-,-,-,-,-,-,-,1270.00,1270000.00,18900.00,31.60,422000.00,8540.00,18.30,1440000.00,21200.00,33.70,248000.00,7140.00,14.00,29900.00,-,-,-,-,-,-,-,15.50,32.70,b1ff17df3d58455cb3636c69d75b327b,9.94
UEA100x65x10,UEA,10.00,5.00,-,-,-,-,-,-,-,-,1540.00,1540000.00,23200.00,31.40,510000.00,10500.00,18.10,1750000.00,25900.00,33.50,302000.00,8730.00,13.90,56200.00,-,-,-,-,-,-,-,16.30,33.60,0ddb4673c21347f6bfb47d03ec787de0,12.30
UEA100x75x6,UEA,10.00,5.00,-,-,-,-,-,-,-,-,1020.00,1020000.00,14700.00,31.60,495000.00,8670.00,22.00,1250000.00,17900.00,34.90,268000.00,7290.00,16.20,14100.00,-,-,-,-,-,-,-,17.90,30.10,06ce4b09ce61417792ab231f3d927f00,8.04
UEA100x75x8,UEA,10.00,5.00,-,-,-,-,-,-,-,-,1350.00,1330000.00,19300.00,31.40,641000.00,11400.00,21.80,1620000.00,23400.00,34.70,346000.00,9480.00,16.00,31600.00,-,-,-,-,-,-,-,18.70,31.00,98521755d55e45bb96f3e75bbc0c4da5,10.60
UEA100x75x10,UEA,10.00,5.00,-,-,-,-,-,-,-,-,1660.00,1620000.00,23800.00,31.20,776000.00,14000.00,21.60,1970000.00,28500.00,34.50,422000.00,11600.00,15.90,59500.00,-,-,-,-,-,-,-,19.50,31.90,6e40fb02d9b1447fa62613f826738cb1,13.00
UEA100x75x12,UEA,10.00,5.00,-,-,-,-,-,-,-,-,1970.00,1890000.00,28000.00,31.00,902000.00,16500.00,21.40,2300000.00,33300.00,34.20,495000.00,13500.00,15.90,99800.00,-,-,-,-,-,-,-,20.30,32.70,ca31950185494a40a4c030677c0c4edf,15.40
UEA125x75x8,UEA,11.00,5.50,-,-,-,-,-,-,-,-,1550.00,2470000.00,29600.00,40.00,676000.00,11600.00,20.90,2740000.00,32500.00,42.10,409000.00,9750.00,16.30,36700.00,-,-,-,-,-,-,-,16.80,41.40,f69213c09fc047268e30f2b63e2da602,12.20
UEA125x75x10,UEA,11.00,5.50,-,-,-,-,-,-,-,-,1910.00,3020000.00,36500.00,39.70,821000.00,14300.00,20.70,3340000.00,39900.00,41.80,499000.00,12000.00,16.10,69000.00,-,-,-,-,-,-,-,17.60,42.30,d51eb64dda4a404ba0ef3c4c3000773a,15.00
UEA125x75x12,UEA,11.00,5.50,-,-,-,-,-,-,-,-,2270.00,3540000.00,43200.00,39.50,955000.00,16900.00,20.50,3910000.00,46900.00,41.50,585000.00,14100.00,16.10,116000.00,-,-,-,-,-,-,-,18.40,43.10,7676f9995a834d35964df17c30735280,17.80
UEA150x75x10,UEA,11.00,5.50,-,-,-,-,-,-,-,-,2160.00,5010000.00,51800.00,48.10,858000.00,14600.00,19.90,5320000.00,54400.00,49.60,553000.00,12300.00,16.00,77400.00,-,-,-,-,-,-,-,16.10,53.20,9d9e252773d74909a9812793261f25a9,17.00
UEA150x75x12,UEA,11.00,5.50,-,-,-,-,-,-,-,-,2570.00,5890000.00,61400.00,47.90,999000.00,17200.00,19.70,6240000.00,64200.00,49.30,649000.00,14600.00,15.90,130000.00,-,-,-,-,-,-,-,16.90,54.10,8c2a417221484ad7bbabc941c7c782cb,20.20
UEA150x75x15,UEA,11.00,5.50,-,-,-,-,-,-,-,-,3160.00,7130000.00,75300.00,47.50,1200000.00,21000.00,19.40,7540000.00,78400.00,48.80,788000.00,17900.00,15.80,246000.00,-,-,-,-,-,-,-,18.10,55.30,2720b4a4421f487aa8b2597f5011e9ce,24.80
UEA150x90x10,UEA,12.00,6.00,-,-,-,-,-,-,-,-,2320.00,5330000.00,53300.00,48.00,1460000.00,21000.00,25.10,5910000.00,58500.00,50.50,883000.00,17500.00,19.50,83600.00,-,-,-,-,-,-,-,20.40,50.00,b9c9f81824aa4c60bd18e9dea8087399,18.20
UEA150x90x12,UEA,12.00,6.00,-,-,-,-,-,-,-,-,2750.00,6270000.00,63300.00,47.70,1710000.00,24800.00,24.90,6940000.00,69100.00,50.20,1040000.00,20700.00,19.40,141000.00,-,-,-,-,-,-,-,21.20,50.80,d602b43290314de6a90fe92c627cd906,21.60
UEA150x90x15,UEA,12.00,6.00,-,-,-,-,-,-,-,-,3390.00,7610000.00,77700.00,47.40,2050000.00,30400.00,24.60,8410000.00,84200.00,49.80,1260000.00,25300.00,19.30,266000.00,-,-,-,-,-,-,-,22.30,52.10,82b5ee7046e3423ea073c2e6be3be054,26.60
CHS60x3.0,CHS,-,-,-,60.0,3,-,-,-,-,-,537.00,219000.00,7290.00,20.20,-,-,-,-,-,-,-,-,-,438.00,-,9760.00,-,-,-,-,-,-,-,6c98d8fec15341618e7e65cf207b48d2,4.24
CHS60x3.5,CHS,-,-,-,60.0,3.5,-,-,-,-,-,621.00,249000.00,8290.00,20.00,-,-,-,-,-,-,-,-,-,498.00,-,11200.00,-,-,-,-,-,-,-,29fbbb73c37340b8be2ddded2ad264bf,4.90
CHS60x4.0,CHS,-,-,-,60.0,4.0,-,-,-,-,-,704.00,277000.00,9240.00,19.80,-,-,-,-,-,-,-,-,-,555.00,-,12600.00,-,-,-,-,-,-,-,c58dde0543274d2693e88d8fd7006807,5.55
CHS60x4.5,CHS,-,-,-,60.0,4.5,-,-,-,-,-,785.00,304000.00,10100.00,19.70,-,-,-,-,-,-,-,-,-,609.00,-,13900.00,-,-,-,-,-,-,-,b15288c645ee42c99a8abf6a2f88dab7,6.19
CHS63.5x3.0,CHS,-,-,-,63.5,3.0,-,-,-,-,-,565.00,255000.00,8100.00,21.20,-,-,-,-,-,-,-,-,-,511.00,-,10800.00,-,-,-,-,-,-,-,92c54be24cbc46be9e257cce490d2edd,4.48
CHS63.5x3.5,CHS,-,-,-,63.5,3.5,-,-,-,-,-,654.00,291000.00,9220.00,21.10,-,-,-,-,-,-,-,-,-,582.00,-,12400.00,-,-,-,-,-,-,-,d0b3253ddcbd44589c6affcdb7b1979c,5.18
CHS63.5x4.0,CHS,-,-,-,63.5,4.0,-,-,-,-,-,741.00,324000.00,10300.00,20.90,-,-,-,-,-,-,-,-,-,649.00,-,13900.00,-,-,-,-,-,-,-,b591205a13de496ab1df5277fd00b4a8,5.87
CHS63.5x4.5,CHS,-,-,-,63.5,4.5,-,-,-,-,-,827.00,356000.00,11300.00,20.70,-,-,-,-,-,-,-,-,-,713.00,-,15400.00,-,-,-,-,-,-,-,ec52a5ec9f8e4f57a2b2991045b1d1a3,6.55
CHS76.2x3.0,CHS,-,-,-,76.2,3.0,-,-,-,-,-,688.00,459000.00,12100.00,25.80,-,-,-,-,-,-,-,-,-,919.00,-,16000.00,-,-,-,-,-,-,-,61cf4221de2942e9b23c6cb2c620dd19,5.42
CHS76.2x3.5,CHS,-,-,-,76.2,3.5,-,-,-,-,-,797.00,525000.00,13800.00,25.70,-,-,-,-,-,-,-,-,-,1050.00,-,18400.00,-,-,-,-,-,-,-,5d5b163e9fd04568abc918b2bda1ba49,6.26
CHS76.2x4.0,CHS,-,-,-,76.2,4.0,-,-,-,-,-,905.00,588000.00,15500.00,25.50,-,-,-,-,-,-,-,-,-,1180.00,-,20800.00,-,-,-,-,-,-,-,887e92f78421490d8ea911bc65686cf6,7.17
CHS76.2x4.5,CHS,-,-,-,76.2,4.5,-,-,-,-,-,1010.00,648000.00,17100.00,25.30,-,-,-,-,-,-,-,-,-,1300.00,-,23000.00,-,-,-,-,-,-,-,072abb21ed834c30a4931ab523057ec8,7.96
CHS76.2x5.0,CHS,-,-,-,76.2,5.0,-,-,-,-,-,1120.00,706000.00,18600.00,25.20,-,-,-,-,-,-,-,-,-,1410.00,-,25200.00,-,-,-,-,-,-,-,4fbccd0850ad46f0931d8bd3751c8a80,8.78
CHS76.2x6.0,CHS,-,-,-,76.2,6,-,-,-,-,-,1320.00,814000.00,21400.00,24.80,-,-,-,-,-,-,-,-,-,1630.00,-,29500.00,-,-,-,-,-,-,-,0ce909e68f674a9a8336a45ef99614ac,10.40
CHS88.9x3.0,CHS,-,-,-,88.9,3.0,-,-,-,-,-,811.00,750000.00,16900.00,30.40,-,-,-,-,-,-,-,-,-,1500.00,-,22200.00,-,-,-,-,-,-,-,ce853860b0754c86baa43c2766f29f6a,6.36
CHS88.9x3.5,CHS,-,-,-,88.9,3.5,-,-,-,-,-,940.00,861000.00,19300.00,30.30,-,-,-,-,-,-,-,-,-,1720.00,-,25600.00,-,-,-,-,-,-,-,de05eef0da9a4c8aa4190748481ee82d,7.37
CHS88.9x4.0,CHS,-,-,-,88.9,4.0,-,-,-,-,-,1070.00,967000.00,21700.00,30.10,-,-,-,-,-,-,-,-,-,1940.00,-,28900.00,-,-,-,-,-,-,-,03900ed32ff847dc9d8ecf05556b4577,8.38
CHS88.9x4.5,CHS,-,-,-,88.9,4.5,-,-,-,-,-,1190.00,1070000.00,24000.00,29.90,-,-,-,-,-,-,-,-,-,2140.00,-,32200.00,-,-,-,-,-,-,-,afcd4ad9c2f84b5ba0cccfd440de38c1,9.37
CHS88.9x5.0,CHS,-,-,-,88.9,5.0,-,-,-,-,-,1320.00,1170000.00,26200.00,29.80,-,-,-,-,-,-,-,-,-,2340.00,-,35300.00,-,-,-,-,-,-,-,855183381e24422b9bb598d42e20b278,10.30
CHS88.9x6.0,CHS,-,-,-,88.9,6.0,-,-,-,-,-,1560.00,1350000.00,30400.00,29.40,-,-,-,-,-,-,-,-,-,2710.00,-,41400.00,-,-,-,-,-,-,-,337a9c89ba2d4267a45be72235890125,12.30
CHS101.6x3.0,CHS,-,-,-,101.6,3.0,-,-,-,-,-,933.00,1140000.00,22400.00,35.00,-,-,-,-,-,-,-,-,-,2290.00,-,29400.00,-,-,-,-,-,-,-,9b608628236941798dea8c397ae3c70d,7.29
CHS101.6x3.5,CHS,-,-,-,101.6,3.5,-,-,-,-,-,1080.00,1320000.00,25800.00,34.80,-,-,-,-,-,-,-,-,-,2630.00,-,34000.00,-,-,-,-,-,-,-,283288a027d74eb2b264d9c45cf72b87,8.47
CHS101.6x4.0,CHS,-,-,-,101.6,4.0,-,-,-,-,-,1230.00,1480000.00,29000.00,34.70,-,-,-,-,-,-,-,-,-,2960.00,-,38400.00,-,-,-,-,-,-,-,729e8406ad00466d96326d6e56c2ef57,9.63
CHS101.6x4.5,CHS,-,-,-,101.6,4.5,-,-,-,-,-,1380.00,1640000.00,32200.00,34.50,-,-,-,-,-,-,-,-,-,3290.00,-,42800.00,-,-,-,-,-,-,-,483d030561be496dbe27f99fb9e85e74,10.80
CHS101.6x5.0,CHS,-,-,-,101.6,5,-,-,-,-,-,1520.00,1800000.00,35200.00,34.30,-,-,-,-,-,-,-,-,-,3600.00,-,47100.00,-,-,-,-,-,-,-,5b52856de6464213a35653b3d18ebec4,11.90
CHS101.6x6.0,CHS,-,-,-,101.6,6,-,-,-,-,-,1810.00,2090000.00,41000.00,34.00,-,-,-,-,-,-,-,-,-,4190.00,-,55400.00,-,-,-,-,-,-,-,6b67f032c2974e49861a403bcefa4339,14.10
CHS114.3x3.0,CHS,-,-,-,114.3,3,-,-,-,-,-,1050.00,1610000.00,28300.00,39.30,-,-,-,-,-,-,-,-,-,3230.00,-,37000.00,-,-,-,-,-,-,-,08890ef367b146789db3f3db4537dd21,8.23
CHS114.3x3.5,CHS,-,-,-,114.3,3.5,-,-,-,-,-,1220.00,1860000.00,32600.00,39.10,-,-,-,-,-,-,-,-,-,3710.00,-,42800.00,-,-,-,-,-,-,-,3fb024ecf8b447efaba1ebdd50404309,9.56
CHS114.3x4.0,CHS,-,-,-,114.3,4.0,-,-,-,-,-,1380.00,2090000.00,36700.00,38.90,-,-,-,-,-,-,-,-,-,4190.00,-,48400.00,-,-,-,-,-,-,-,fc851e699b6244c998b3ed415ff9402e,10.90
CHS114.3x4.5,CHS,-,-,-,114.3,4.5,-,-,-,-,-,1550.00,2320000.00,40800.00,38.70,-,-,-,-,-,-,-,-,-,4650.00,-,54000.00,-,-,-,-,-,-,-,56cb81e9b1e14c56b1e25f7d13dbb290,12.60
CHS114.3x5.0,CHS,-,-,-,114.3,5.0,-,-,-,-,-,1710.00,2550000.00,44700.00,38.60,-,-,-,-,-,-,-,-,-,5100.00,-,59400.00,-,-,-,-,-,-,-,962a166c506d469c93929eb837a78a82,13.50
CHS114.3x6.0,CHS,-,-,-,114.3,6.0,-,-,-,-,-,2040.00,2980000.00,52200.00,38.20,-,-,-,-,-,-,-,-,-,5960.00,-,70100.00,-,-,-,-,-,-,-,bcb5c597f9774699b9b4e1f32188b162,16.00
CHS127x3.0,CHS,-,-,-,127.0,3,-,-,-,-,-,1170.00,2250000.00,35400.00,43.90,-,-,-,-,-,-,-,-,-,4500.00,-,46100.00,-,-,-,-,-,-,-,aad396ac7b0f451b8b452c9874203686,9.17
CHS127x3.5,CHS,-,-,-,127.0,3.5,-,-,-,-,-,1360.00,2590000.00,40800.00,43.70,-,-,-,-,-,-,-,-,-,5180.00,-,53400.00,-,-,-,-,-,-,-,6fc832fcd8674fe2b5d58399ef701cbf,10.70
CHS127x4.0,CHS,-,-,-,127.0,4.0,-,-,-,-,-,1550.00,2930000.00,46100.00,43.50,-,-,-,-,-,-,-,-,-,5850.00,-,60500.00,-,-,-,-,-,-,-,77110cb88fca498087ef22d6f43da7f0,12.10
CHS127x4.5,CHS,-,-,-,127.0,4.5,-,-,-,-,-,1730.00,3250000.00,51200.00,43.30,-,-,-,-,-,-,-,-,-,6510.00,-,67600.00,-,-,-,-,-,-,-,8ba145784a62467d8c87170c6b3d3360,13.60
CHS127x5.0,CHS,-,-,-,127.0,5.0,-,-,-,-,-,1920.00,3570000.00,56200.00,43.20,-,-,-,-,-,-,-,-,-,7150.00,-,74500.00,-,-,-,-,-,-,-,f8ec688d9f984e0cb52737bdc0fe7f99,15.00
CHS127x6.0,CHS,-,-,-,127.0,6.0,-,-,-,-,-,2280.00,4180000.00,65900.00,42.80,-,-,-,-,-,-,-,-,-,8380.00,-,87900.00,-,-,-,-,-,-,-,f9d7bfe1440145f6af01215c4587847b,17.90
CHS139.7x3.0,CHS,-,-,-,139.7,3,-,-,-,-,-,1290.00,3030000.00,43300.00,48.40,-,-,-,-,-,-,-,-,-,6060.00,-,56300.00,-,-,-,-,-,-,-,4da5720cdfce4e6998836b1432cdd613,10.10
CHS139.7x3.5,CHS,-,-,-,139.7,3.5,-,-,-,-,-,1500.00,3500000.00,50000.00,48.30,-,-,-,-,-,-,-,-,-,7000.00,-,65200.00,-,-,-,-,-,-,-,745eeb6d92164d24991bcaeaa69c3b43,11.80
CHS139.7x4.0,CHS,-,-,-,139.7,4,-,-,-,-,-,1710.00,3950000.00,56500.00,48.10,-,-,-,-,-,-,-,-,-,7910.00,-,74000.00,-,-,-,-,-,-,-,64644f35ea074217b7ab1d99000cd4f1,13.40
CHS139.7x4.5,CHS,-,-,-,139.7,4.5,-,-,-,-,-,1920.00,4400000.00,62900.00,47.90,-,-,-,-,-,-,-,-,-,8810.00,-,82700.00,-,-,-,-,-,-,-,5d7667dee6a2496ca3c38bc8cdae19ac,15.00
CHS139.7x5.0,CHS,-,-,-,139.7,5,-,-,-,-,-,2120.00,4840000.00,69100.00,47.80,-,-,-,-,-,-,-,-,-,9680.00,-,91200.00,-,-,-,-,-,-,-,e9f60f692c944ba7986df74e3a656020,16.60
CHS139.7x6.0,CHS,-,-,-,139.7,6,-,-,-,-,-,2530.00,5680000.00,81200.00,47.40,-,-,-,-,-,-,-,-,-,11400.00,-,108000.00,-,-,-,-,-,-,-,6b3912d1bd3c49edaeb327c33f62b267,19.80
CHS152.4x3.0,CHS,-,-,-,152.4,3,-,-,-,-,-,1400.00,3900000.00,51200.00,52.70,-,-,-,-,-,-,-,-,-,7800.00,-,66600.00,-,-,-,-,-,-,-,769180dbdf634004848e650104e8b5cd,11.10
